Identifiant;n° notice BnF;Type de notice ;Type de document;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb45153594n | ISBN 9782352893134 | ;45153594;monographie;texte imprimé;Chamour : et tous ceux qui nous manquent / Émilie Vast;Vast, Émilie (1978-....). Auteur du texte;;Éditions MeMo (Nantes);2016;Code à barres commercial : EAN 9782352893134;;fre | français | ;"1 vol. (non paginé [27] p.) : ill. en coul. ; 25 cm";
http://catalogue.bnf.fr/ark:/12148/cb458488146 | ISBN 9782302078970 | ;45848814;monographie;texte imprimé;"Histoires de fantômes du Japon / Lafcadio Hearn ; illustrées par Benjamin Lacombe ; traduction de l'anglais par Marc Logé";Hearn, Lafcadio (1850-1904). Auteur du texte;Lacombe, Benjamin (1982-....). Illustrateur | Logé, Marc (1887-1949). Traducteur | ;Éditions Soleil (Paris);2019;Collection : Métamorphose | Code à barres commercial : EAN 9782302078970 | ;;fre | français | ;"1 vol. (175 p.) : ill. en coul. ; 29 cm";
http://catalogue.bnf.fr/ark:/12148/cb471702745 | ISBN 9782366247336 | ;47170274;monographie;texte imprimé;"Dans les bois / Eva Lindström ; traduit du suédois par Aude Pasquier";Lindström, Eva (1952-....). Auteur du texte;Pasquier, Aude (1981-....). Traducteur;Cambourakis (Paris);2023;Code à barres commercial : EAN 9782366247336;;fre | français | ;"1 vol. (non paginé [24] p.) : ill. en coul. ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb47128434c | ISBN 9782352895220 | ;47128434;monographie;texte imprimé;"La petite famille à fourrure / texte de Margaret Wise Brown ; illustrations de Garth Williams ; traduction de Lou Gonse";Brown, Margaret Wise (1910-1952). Auteur du texte;Williams, Garth (1912-1996). Illustrateur | Gonse, Lou (1988-....). Traducteur | ;Éditions MeMo (Nantes);2022;Code à barres commercial : EAN 9782352895220;;fre | français | ;"1 vol. (non paginé [29] p.) : ill. en coul. ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb471293648 | ISBN 9782603028865 | ;47129364;monographie;texte imprimé;Traces / Hugo Frassetto et Sophie Tavert Macian;Frassetto, Hugo (1983-....). Auteur du texte | Tavert Macian, Sophie. Auteur du texte | ;;Delachaux et Niestlé jeunesse (Paris);2022;Code à barres commercial : EAN 9782603028865;;fre | français | ;"1 vol. (non paginé [80] p.) : ill. ; 28 x 32 cm";
http://catalogue.bnf.fr/ark:/12148/cb47096294g | ISBN 9782372731201 | ;47096294;monographie;texte imprimé;"Te souviens-tu, Marianne ? : histoire de la résistante Marianne Cohn / Philippe Nessmann ; [dessin de] Christel Espié";Nessmann, Philippe (1967-....). Auteur du texte;Espié, Christel (1975-....). Illustrateur;les Éditions des Éléphants (Paris);2022;Code à barres commercial : EAN 9782372731201;Cohn, Marianne (1922-1944) | Guerre mondiale (1939-1945) -- Juifs -- Sauvetage -- France | ;fre | français | ;"1 vol. (non paginé [28] p.) : ill. en coul. ; 34 cm";
http://catalogue.bnf.fr/ark:/12148/cb471088044 | ISBN 9782413030157 | ;47108804;monographie;texte imprimé;"Proies et prédateurs / scénario, J.-D. Morvan ; dessin, Yang Weilin ; couleur, Hiroyuki Ooshima ; d'après la nouvelle de Liu Cixin";Morvan, Jean-David (1969-....). Auteur du texte;WeiLin, Yang. Illustrateur | Liu, Ci xin (1963-....). Auteur adapté | ;Delcourt (Paris);2022;Code à barres commercial : EAN 9782413030157;;fre | français | ;"1 vol. (105 p.-[2] f. dépl.) : ill. en coul. ; 30 cm";
http://catalogue.bnf.fr/ark:/12148/cb472612940 | ISBN 9782266329507 | ;47261294;monographie;texte imprimé;"Les mystérieux enfants de la nuit / Dan Gemeinhart ; traduit de l'anglais (États-Unis) par Isabelle Troin";Gemeinhart, Dan. Auteur du texte;Troin, Isabelle. Traducteur;Pocket jeunesse-PKJ (Paris);2023;Code à barres commercial : EAN 9782266329507;;fre | français | ;"1 vol. (469 p.) ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb47021064b | ISBN 9791023516999 | ;47021064;monographie;texte imprimé;Mimi Cracra : toute l'année / Agnès Rosenstiehl;Rosenstiehl, Agnès (1941-....). Auteur du texte;;Seuil jeunesse (Paris);2022;Code à barres commercial : EAN 9791023516999;;fre | français | ;"1 vol. (237 p.) : ill. en coul. ; 24 cm";
http://catalogue.bnf.fr/ark:/12148/cb47211614k | ISBN 9782226479235 | ;47211614;monographie;texte imprimé;"Béa Wolf / scénario, Zach Weinersmith ; dessin, Boulet ; traduction, Aude Pasquier";Weinersmith, Zach (1982-....). Auteur du texte;Boulet (1975-....). Illustrateur | Pasquier, Aude (1981-....). Traducteur | ;Albin Michel (Paris);2023;Code à barres commercial : EAN 9782226479235;;fre | français | ;"1 vol. (199 p.) : ill ; 27 cm";
http://catalogue.bnf.fr/ark:/12148/cb47138764b | ISBN 9782413044499 | ;47138764;monographie;texte imprimé;Le porteur de mauvaises nouvelles / Serge Lehman & Frederik Peeters;Lehman, Serge (1964-....). Auteur du texte | Peeters, Frederik (1974-....). Auteur du texte | ;;Éditions Delcourt (Paris);2022;Code à barres commercial : EAN 9782413044499;;fre | français | ;"1 vol. (79 p.) : ill. en coul. ; 30 cm";
http://catalogue.bnf.fr/ark:/12148/cb47088464c | ISBN 9782352903031 | ;47088464;monographie;texte imprimé;Illustratio ! / [texte et dessins de] Jean-Baptiste Bourgois;Bourgois, Jean-Baptiste (1987-....). Auteur du texte;;Éditions courtes et longues (Paris);2022;Code à barres commercial : EAN 9782352903031;;fre | français | ;"1 vol. (non paginé [ca 168] p.) : ill. en coul. ; 28 cm";
http://catalogue.bnf.fr/ark:/12148/cb45030854x | ISBN 9782842606978 | ;45030854;monographie;texte imprimé;"Holloway Jones / Evan Placey ; traduit de l'anglais (Royaume-Uni) par Adélaïde Pralon";Placey, Evan. Auteur du texte;Pralon, Adélaïde (1982-....). Traducteur;Éditions théâtrales (Montreuil);2016;Collection : Théâtrales-jeunesse | Code à barres commercial : EAN 9782842606978 | ;;fre | français | ;"1 vol. (102 p.) ; 17 cm";
http://catalogue.bnf.fr/ark:/12148/cb458388140 | ISBN 9782226329363 | ;45838814;monographie;texte imprimé;Gisèle de verre / Beatrice Alemagna;Alemagna, Beatrice (1973-....). Auteur du texte;;Albin Michel jeunesse (Paris);2019;Collection : Trapèze | Code à barres commercial : EAN 9782226329363 | ;;fre | français | ;"1 vol. (non paginé [41] p.) : ill. en coul. ; 27 cm";
http://catalogue.bnf.fr/ark:/12148/cb45653344d | ISBN 9782354134327 | ;45653344;monographie;texte imprimé;"Le Chat botté / un conte de Charles Perrault ; illustré par Gabriel Pacheco ; et traduit par Julie Duteil";Perrault, Charles (1628-1703). Auteur du texte;Pacheco, Gabriel (1973-....). Illustrateur | Duteil, Julie. Traducteur | ;Minedition (Paris);2019;Collection : Un livre d'images Minedition | Code à barres commercial : EAN 9782354134327 | ;;fre | français | ;"1 vol. (non paginé [31] p.) : ill. en coul. ; 29 cm";
http://catalogue.bnf.fr/ark:/12148/cb45863324b | ISBN 9782366244700 | ;45863324;monographie;texte imprimé;"La nuit / Sara Villius ; [illustrations de] Mari Kanstad Johnsen ; traduit du suédois par Cartherine Renaud";Villius, Sara (1976-....). Auteur du texte;Johnsen, Mari Kanstad (1981-....). Illustrateur | Renaud, Catherine (1974-....). Traducteur | ;Cambourakis (Paris);2020;Code à barres commercial : EAN 9782366244700;;fre | français | ;"1 vol. (non paginé [25] p.) : ill. en coul. ; 21 x 27 cm";
http://catalogue.bnf.fr/ark:/12148/cb470093740 | ISBN 9782919511860 | ;47009374;monographie;texte imprimé;"Juste le ciel et nous / Annie Agopian ; [dessins], Carole Chaix ; traduit en arabe par Golan Haji | Waḥdahā al-samāʾ wa-naḥnu / Ānī Āǧūbyān ; rusūm Karūl Šāks ; naqalahā ilá al-ʿarabiyyaẗ Ǧūlān Ḥaǧī | وحدها السماء ونحن / آني آجوبيان ; رسوم كرول شاكس ; نقلها إلى العربيّة جولان حاجي | ";Agopian, Annie (1956-....). Auteur du texte;Chaix, Carole (1968-....). Illustrateur | Ḥāǧī, Ǧūlān (1977-....). Traducteur | ;le Port a jauni (Marseille);2022;Collection : Poèmes | Code à barres commercial : EAN 9782919511860 | ;;ara;"1 vol. (non paginé [24] p.) : ill. en coul. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb47094184d | ISBN 9782352903307 | ;47094184;monographie;texte imprimé;Maison / Isabelle Simler;Simler, Isabelle (1972-....). Auteur du texte;;Éditions Courtes et longues (Paris);2022;Code à barres commercial : EAN 9782352903307;Animaux -- Habitat;fre | français | ;"1 vol. (non paginé [58] p.) : ill. en coul. ; 33 cm";
http://catalogue.bnf.fr/ark:/12148/cb47053874z | ISBN 9791023516487 | ;47053874;monographie;texte imprimé;Derrière les rochers / Élodie Bouédec;Bouédec, Élodie. Auteur du texte;;Seuil jeunesse (Paris);2022;Code à barres commercial : EAN 9791023516487;;fre | français | ;"1 vol. (non paginé [49] p.) : ill. en coul. ; 32 cm";
http://catalogue.bnf.fr/ark:/12148/cb470858444 | ISBN 9782380713763 | ;47085844;monographie;texte imprimé;"Arsène Lupin contre Herlock Sholmès : la dame blonde. Partie 1 / Takashi Morita ; oeuvre originale, Maurice Leblanc";Morita, Takashi (1973-....). Auteur du texte;Leblanc, Maurice (1864-1941). Auteur adapté;Kurokawa (Paris);2022;Collection : Collection dirigée par Grégoire Hellot | Code à barres commercial : EAN 9782380713763 | ;;fre | français | ;"1 vol. (non paginé [ca 272] p.) : ill. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb47183104n | ISBN 9782211322010 | ;47183104;monographie;texte imprimé;Le chemin : [jeu] / Claude Ponti;Ponti, Claude (1948-....). Auteur du texte;;l'École des loisirs (Paris);2023;Code à barres commercial : EAN 9782211322010;;fre | français | ;"1 boîte (1 livret (4 p.); 21 cartes; 1 dépliant) : ill. en coul. ; 21 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb470399043 | ISBN 9782278121830 | ;47039904;monographie;texte imprimé;Blaireau et le monstre de l'étang / Olivier Desvaux;Desvaux, Olivier (1982-....). Auteur du texte;;Didier jeunesse (Paris);2022;Code à barres commercial : EAN 9782278121830;;fre | français | ;"1 vol. (non paginé [25] p.) : ill. en coul. ; 26 cm";
http://catalogue.bnf.fr/ark:/12148/cb470293643 | ISBN 9782373497342 | ;47029364;monographie;texte imprimé;Mon amie des ténèbres. 5 / Taku Kawamura;Kawamura, Taku. Auteur du texte;;Nobi nobi ! (Vanves);2022;Collection : Shônen | Code à barres commercial : EAN 9782373497342 | ;;fre | français | ;"1 vol. (136 p.) : ill. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb47060764v | ISBN 9782361936761 | ;47060764;monographie;texte imprimé;À bicyclette / Dominique Ehrhard;Ehrhard, Dominique (1958-....). Auteur du texte;;les Grandes personnes (Paris);2022;Code à barres commercial : EAN 9782361936761;Cyclisme | Bicyclettes | ;fre | français | ;"1 vol. (non paginé [16] p.) : ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb346980551 | ISBN 2070367622 | ;34698055;monographie;texte imprimé;Paroles / Jacques Prévert;Prévert, Jacques (1900-1977). Auteur du texte;;[Gallimard] (Paris);1976;"Collection : Collection Folio ; 762";;fre | français | ;"251 p. : couv. ill. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb34756695s | ISBN 2850692697 | ;34756695;monographie;texte imprimé;"L'Affaire du Silure / Guy Menga ; illustrations de Bernard Dufossé";Menga, Guy (1935-....). Auteur du texte;Dufossé, Bernard (1936-2016). Illustrateur;EDICEF (Abidjan);1981;Collection : NEA-EDICEF jeunesse | Code à barres commercial : EAN 9782850692697 | ;;fre | français | ;"174 p. : ill., couv. ill. en coul. ; 17 cm";
http://catalogue.bnf.fr/ark:/12148/cb40214075w | ISBN 2912594545 | ;40214075;monographie;texte imprimé;"Le drôle de festin de commère Tartignolle / Jaël Pedro ; illustrations de Sophie Mondésir";Pedro, Jaël. Auteur du texte;Mondésir, Sophie (1957-....). Illustrateur;Éd. Jasor (Pointe-à-Pitre);2005;Code à barres commercial : EAN 9782912594549;;fre | français | ;"1 vol. (32 p.) : ill. en coul., couv. ill. en coul. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb40940835q | ISBN 2748504860 | ;40940835;monographie;texte imprimé;"Le buffle et l'oiseau / Catherine Zarcate ; [illustrations de] Olivier Charpentier";Zarcate, Catherine (1952-....). Auteur du texte | Charpentier, Olivier (1967-....). Auteur du texte | ;;Syros jeunesse (Paris);2006;Code à barres commercial : EAN 9782748504866;;fre | français | ;"1 vol. (non paginé [26] p.) : ill., couv. ill. en coul. ; 31 cm";
http://catalogue.bnf.fr/ark:/12148/cb43704725b | ISBN 9782359660302 | ;43704725;monographie;texte imprimé;"La promesse / Jean-Marie Omont, scénario ; Golo Zhao, dessin ; d'après les personnages et l'idée originale de Patrick Marty...";Omont, Jean-Marie. Auteur du texte | Zhao, Golo (1984-....). Auteur du texte | ;Marty, Patrick (1963-....). Auteur adapté;les Éd. Fei (Paris);2012;Code à barres commercial : EAN 9782359660302;;fre | français | ;"1 vol. (94 p.) : ill. en coul., couv. ill. en coul. ; 13 x 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb43400145t | ISBN 9789991963211 | ;43400145;monographie;texte imprimé;"Le rat et le serpent / Béatrice Lalinon Gbado ; ill. François C. Yemadje";Lalinon Gbado, Béatrice (1962-....). Auteur du texte;Yemadje, François C.. Illustrateur;Ruisseaux d'Afrique (Kindonou);2007;Collection : Lunes enchanteresses;;fre | français | ;"23 p. : ill. en coul., couv. ill. en coul. ; 24 x 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb435887050 | ISBN 9782505017271 | ;43588705;monographie;texte imprimé;"Bakuman. 14 / Tsugumi Ohba ; [dessins de] Takeshi Obata";Ōba, Tsugumi. Auteur du texte;Obata, Takeshi (1969-....). Illustrateur;Kana (Bruxelles);2013;Code à barres commercial : EAN 9782505017271;;fre | français | ;"1 vol. (186 p.) : ill., couv. ill., jaquette ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb43607395z | ISBN 9782330017637 | ;43607395;monographie;texte imprimé;"Une fille nommée Hamlet / Erin Dionne ; traduit de l'anglais (États-Unis) par Sandra Lumbroso";Dionne, Erin. Auteur du texte;Lumbroso, Sandra. Traducteur;Hélium (Paris);2013;Code à barres commercial : EAN 9782330017637;;fre | français | ;"1 vol. (247 p.) : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb43558525f | ISBN 9782354131463 | ;43558525;monographie;texte imprimé;Alphabet / Květa Pacovská;Pacovská, Květa (1928-2023). Auteur du texte;;Minedition (Paris);2012;Collection : Un livre d'images Minedition | Code à barres commercial : EAN 9782354131463 | ;;fre | français | ;"1 vol. (non paginé [34] p.) : tout en ill. en coul., couv. ill. en coul. ; 26 cm";
http://catalogue.bnf.fr/ark:/12148/cb43499655j | ISBN 9782364745049 | ;43499655;monographie;texte imprimé;La nappe blanche / Françoise Legendre;Legendre, Françoise (1955-....). Auteur du texte;;T. Magnier (Paris);2014;Collection : Petite poche | Code à barres commercial : EAN 9782364745049 | ;;fre | français | ;"1 vol. (45 p.) : couv. ill. ; 15 cm";
http://catalogue.bnf.fr/ark:/12148/cb437541053 | ISBN 9782021100594 | ;43754105;monographie;texte imprimé;Turlututu, c'est magique ! / Hervé Tullet;Tullet, Hervé (1958-....). Auteur du texte;;Seuil jeunesse (Paris);2014;Code à barres commercial : EAN 9782021100594;;fre | français | ;"1 vol. (non paginé [ca 60] p.) : ill. en coul, couv. ill. en coul. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb43614895t | ISBN 9782917237533 | ;43614895;monographie;texte imprimé;La chasse aux papillons / Loïc Dauvillier & Baptiste Amsallem;Dauvillier, Loïc (1971-....). Auteur du texte | Amsallem, Baptiste (1986-....). Auteur du texte | ;;des Ronds dans l'o (Vincennes);2013;Code à barres commercial : EAN 9782917237533;;fre | français | ;"1 vol. (38 p.) : ill. en coul., couv. ill. en coul. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb43614975g | ISBN 9782211213943 | ;43614975;monographie;texte imprimé;"3 contes cruels / une histoire de Matthieu Sylvander ; illustrée par Perceval Barrier";Sylvander, Matthieu (1969-....). Auteur du texte;Barrier, Perceval. Illustrateur;l'École des loisirs (Paris);2013;Code à barres commercial : EAN 9782211213943;;fre | français | ;"1 vol. (non paginé [46] p.) : ill. en coul., couv. ill. en coul. ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb434049559 | ISBN 9782800145686 | ;43404955;monographie;texte imprimé;Le privé d'Hollywood / Berthet, Rivière & Bocquet;Bocquet, José-Louis (1962-....). Auteur du texte | Rivière, François (1949-....). Auteur du texte | ;Berthet, Philippe (1956-....). Illustrateur;Dupuis (Marcinelle (Belgique));2009;Code à barres commercial : EAN 9782800145686;;fre | français | ;"150 p. : illustrations en noir et blanc ; 25 x 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb436918158 | ISBN 9782877677899 | ;43691815;monographie;texte imprimé;"Et si jamais ? / Anthony Browne ; [traduit de l'anglais par Élisabeth Duval]";Browne, Anthony (1946-....). Auteur du texte;Duval, Élisabeth (1952-....). Traducteur;Kaléidoscope (Paris);2013;Code à barres commercial : EAN 9782877677899;;fre | français | ;"1 vol. (non paginé [27] p.) : ill. en coul., couv. ill. en coul. ; 30 cm";
http://catalogue.bnf.fr/ark:/12148/cb437947554 | ISBN 9782070656820 | ;43794755;monographie;texte imprimé;Grandclapier : un roman de l'ancien temps / Joann Sfar;Sfar, Joann (1971-....). Auteur du texte;;Gallimard (Paris);2014;Code à barres commercial : EAN 9782070656820;;fre | français | ;"1 vol. (255 p.) : ill., couv. ill. ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb437709857 | ISBN 9782012033108 | ;43770985;monographie;texte imprimé;"Je m'appelle Parvana : 10 ans après "Une enfance en Afghanistan" / Deborah Ellis ; traduit de l'anglais (États-Unis) par Anne-Laure Brisac";Ellis, Deborah (1960-....). Auteur du texte;Brisac, Anne-Laure (1962-....). Traducteur;Hachette (Paris);2014;Code à barres commercial : EAN 9782012033108;;fre | français | ;"1 vol. (238 p.-[4] p. de pl.) : ill. en coul., couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb435085153 | ISBN 9782919243051 | ;43508515;monographie;texte imprimé;Terry et les pirates. [Volume 3], 1939 à 1940 / Milton Caniff;Caniff, Milton Arthur (1907-1988). Auteur du texte;;BdArtist(e) (Paris);2012;Code à barres commercial : EAN 9782919243051;;fre | français | ;"1 vol. (350 p.) : ill. en noir et en coul., jaquette ill. en coul. ; 23 x 29 cm";
http://catalogue.bnf.fr/ark:/12148/cb434081552 | ISBN 9782746715066 | ;43408155;monographie;texte imprimé;"Les réflexions d'une grenouille : intégrale / Kazuo Iwamura ; texte français de Paul Paludis";Iwamura, Kazuo (1939-....). Auteur du texte;Paludis, Paul. Traducteur;Autrement Jeunesse (Paris);2011;Collection : Hors collection jeunesse | Code à barres commercial : EAN 9782746715066 | ;;fre | français | ;"1 vol. : ill. en coul. ; 26 x 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb436670256 | ISBN 9782505018698 | ;43667025;monographie;texte imprimé;Real. 12 / Takehiko Inoue;Inoue, Takehiko (1967-....). Auteur du texte;;Kana (Bruxelles);2010;Collection : Big Kana | Code à barres commercial : EAN 9782505018698 | ;;fre | français | ;"1 vol. (210 p.) : ill. en noir et en coul., jaquette ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb436670554 | ISBN 9782012028746 | ;43667055;monographie;texte imprimé;"Les enfants de Willesden Lane : au-delà de l'histoire du Kinderstransport [sic], un témoignage sur la musique, l'amour et la survie / Mona Golabek & Lee Cohen ; traduit de l'anglais (États-Unis) par Luc Rigoureau";Golabek, Mona. Auteur du texte | Cohen, Lee. Auteur du texte | ;Rigoureau, Luc. Traducteur;Hachette (Paris);2013;Code à barres commercial : EAN 9782012028746;"Kindertransport (1938-1940 ; opération de sauvetage) | Enfants juifs pendant la Shoah -- Grande-Bretagne | ";fre | français | ;"1 vol. (362 p.) : couv. ill. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb43867325c | ISBN 9782923342863 | ;43867325;monographie;texte imprimé;"Le baiser mauve de Vava / texte de Dany Laferrière,... ; illustrations de Frédéric Normandin";Laferrière, Dany (1953-....). Auteur du texte;Normandin, Frédéric (1972-....). Illustrateur;les Éd. de la Bagnole (Longueuil (Québec)) | Interforum Editis diff. (Ivry-sur-Seine) | ;2014;Code à barres commercial : EAN 9782923342863;;fre | français | ;"1 vol. (non paginé [46] p.) : ill. en coul., couv. ill. en coul. ; 25 cm";
http://catalogue.bnf.fr/ark:/12148/cb435482858 | ISBN 9782355924965 | ;43548285;monographie;texte imprimé;Bride stories. 2 / Kaoru Mori;Mori, Kaoru (1978-....). Auteur du texte;;Ki-oon (Paris);2013;Collection : Latitudes | Code à barres commercial : EAN 9782355924965 | ;;fre | français | ;"1 vol. (194 p.) : ill., couv. ill. en coul. ; 24 cm";
http://catalogue.bnf.fr/ark:/12148/cb434116956 | ISBN 9782923841328 | ;43411695;monographie;texte imprimé;"Jane, le renard et moi / Fanny Britt ; illustrations, Isabelle Arsenault";Britt, Fanny (1977-....). Auteur du texte;Arsenault, Isabelle (1978-....). Illustrateur;PASTEQUE (Montréal);2012;Code à barres commercial : EAN 9782923841328;;fre | français | ;"1 vol. (101 p.) : ill. ; 30 cm";
http://catalogue.bnf.fr/ark:/12148/cb43701395p | ISBN 9782747036979 | ;43701395;monographie;texte imprimé;Le chat aux yeux d'or / Silvana De Mari;De Mari, Silvana. Auteur du texte;;Bayard jeunesse (Paris);2013;Collection : Millézime | Code à barres commercial : EAN 9782747036979 | ;;fre | français | ;"1 vol. (262 p.) : couv. ill. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb43759825v | ISBN 9782953941777 | ;43759825;monographie;texte imprimé;"Étrange balade à la Réunion / texte, Christelle J. Minier ; photographies, Py Jordan";Minier, Christelle (1974-....). Auteur du texte;Jordan, Py (1972-....). Illustrateur;Moka éd. (Petite-Île (Réunion));2013;Collection : Pour de rire | Code à barres commercial : EAN 9782953941777 | ;;fre | français | ;"1 vol. (non paginé [21] p.) : ill. en noir et en coul., couv. ill. en coul. ; 17 cm";
http://catalogue.bnf.fr/ark:/12148/cb433998657 | ISBN 9782020969031 | ;43399865;monographie;texte imprimé;Le petit bol de porcelaine bleue / Françoise Legendre;Legendre, Françoise (1955-....). Auteur du texte;;Seuil (Paris);2008;Collection : Karactère(s) | Code à barres commercial : EAN 9782020969031 | ;;fre | français | ;21 x 13 cm;
http://catalogue.bnf.fr/ark:/12148/cb43396175w | ISBN 9782803623273 | ;43396175;monographie;texte imprimé;"Isabelle : l'intégrale. 1 / Will ; Franquin, Delporte, Macherot";Franquin, André (1924-1997). Auteur du texte | Delporte, Yvan (1928-2007). Auteur du texte | Macherot, Raymond (1924-2008). Auteur du texte | ;Will. Illustrateur;Le Lombard (Bruxelles);2007;;;fre | français | ;"224 p. ; 30 x 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb437605550 | ISBN 9782278075126 | ;43760555;monographie;texte imprimé;Miss Carabis : Carabosse soldat / Charlotte Mollet;Mollet, Charlotte (1960-....). Auteur du texte;;Didier jeunesse (Paris);2014;Code à barres commercial : EAN 9782278075126;;fre | français | ;"1 vol. (non paginé [56] p.) : ill. en coul., couv. ill. en coul. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb43406675k | ISBN 9782878335392 | ;43406675;monographie;texte imprimé;"Monsieur Toupetit et la baleine / Julian Tuwim ; illustrations Bohdan Butenko ; traduit du polonais par Malgorzata Smorag-Goldberg";Tuwim, Julian (1894-1953). Auteur du texte;Butenko, Bohdan (1931-....). Illustrateur | Smorąg-Goldberg, Małgorzata (1961-....). Traducteur | ;Circonflexe (Paris);2010;Code à barres commercial : EAN 9782878335392;;fre | français | ;"1 vol. : ill. en coul. ; 27 x 40 cm";
http://catalogue.bnf.fr/ark:/12148/cb43679965m | ISBN 9782358321273 | ;43679965;monographie;texte imprimé;"Mon petit Calder / [texte de] Colombe Schneck + Emmanuel Javal ; [illustrations de] Iris de Moüy";Schneck, Colombe (1966-....). Auteur du texte | Javal, Emmanuel. Auteur du texte | ;Moüy, Iris de (1975-....). Illustrateur;Palette (Paris) | Hélium (Paris) | ;2013;Collection : Collection Art-album | Code à barres commercial : EAN 9782358321273 | ;Calder, Alexander (1898-1976);fre | français | ;"1 vol. (non paginé [36] p.) : ill. en coul., couv. ill. en coul. ; 30 cm";
http://catalogue.bnf.fr/ark:/12148/cb433941355 | ISBN 2882583885 | ;43394135;monographie;texte imprimé;"Le canard, la mort et la tulipe / Wolf Erlbruch ; traduit de l'allemand par Danièle Ball";Erlbruch, Wolf (1948-2022). Auteur du texte;Ball-Simon, Danièle (1961-....). Traducteur;Joie de lire (Genève);2007;Code à barres commercial : EAN 9782882583888;;fre | français | ;"32 p. : ill. en coul. ; 28 x 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb43748565t | ISBN 9791023501568 | ;43748565;monographie;texte imprimé;Tout ce qui roule / Alain Le Saux, Grégoire Solotareff;Le Saux, Alain (1936-2015). Auteur du texte | Solotareff, Grégoire (1953-....). Auteur du texte | ;;Seuil jeunesse (Paris);2014;Code à barres commercial : EAN 9791023501568;;fre | français | ;"1 vol. (non paginé [16] p.) : ill. en coul., couv. ill. en coul. ; 10 cm";
http://catalogue.bnf.fr/ark:/12148/cb43498215z | ISBN 9782070660322 | ;43498215;monographie;texte imprimé;Le monde des timbres pour les philatélistes en herbe / Jean-Michel Billioud;Billioud, Jean-Michel (1964-....). Auteur du texte;;Gallimard jeunesse (Paris);2014;Code à barres commercial : EAN 9782070660322;Philatélie | Philatélie -- Histoire -- Ouvrages pour la jeunesse | ;fre | français | ;"1 vol. (47 p.) : ill. en noir et en coul., couv. ill. en coul. ; 28 cm";
http://catalogue.bnf.fr/ark:/12148/cb43848685w | ISBN 9782746736214 | ;43848685;monographie;texte imprimé;Romi à la plage / Janik Coat;;Coat, Janik (1972-....). Illustrateur;Autrement jeunesse (Paris);2014;Collection : Autrement jeunesse | Code à barres commercial : EAN 9782746736214 | ;;fre | français | ;"1 vol. (non paginé [32] p.) : ill. en coul., couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb43795375w | ISBN 9782848655826 | ;43795375;monographie;texte imprimé;La guitare de Django / Fabrizio Silei et Alfred;Silei, Fabrizio (1967-....). Auteur du texte | Alfred (1976-....). Auteur du texte | ;;Éd. Sarbacane (Paris);2014;Code à barres commercial : EAN 9782848655826;Reinhardt, Django (1910-1953);fre | français | ;"1 vol. (34 p.) ; 33 cm";
http://catalogue.bnf.fr/ark:/12148/cb439103056 | ISBN 9782812607110 | ;43910305;monographie;texte imprimé;Le miel des trois compères / Richard Marnier, Gaëtan Dorémus;Marnier, Richard (1972-....). Auteur du texte | Dorémus, Gaëtan (1976-....). Auteur du texte | ;;Rouergue (Arles);2014;Code à barres commercial : EAN 9782812607110;;fre | français | ;"1 vol. (non paginé [36] p.) : ill., couv. ill. ; 25 cm";
http://catalogue.bnf.fr/ark:/12148/cb434976552 | ISBN 9782205070477 | ;43497655;monographie;texte imprimé;Fils du soleil / Nury, Henninot;Nury, Fabien (1976-....). Auteur du texte | Henninot, Éric. Auteur du texte | ;;Dargaud (Paris);2014;Code à barres commercial : EAN 9782205070477;;fre | français | ;"1 vol. : ill. en coul. ; 32 x 24 cm";
